Site,Name,Price,Stock,Link
"efantasy","Magic the Gathering Play Booster Box (36 boosters) -
Outlaws of Thunder Junction","179,99€","Διαθέσιμα: 3","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/277901-magic-the-gathering-play-booster-box-36-boosters-outlaws-of-thunder-junction"

"efantasy","Magic the Gathering Draft Booster Box (36 boosters) -
Kamigawa: Neon Dynasty","144,00€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/193374-magic-the-gathering-draft-booster-box-36-boosters-kamigawa-neon-dynasty"

"efantasy","Magic The Gathering - Secret Lair: Borderless
Planeswalkers (Foil Edition)","59,99€","Διαθέσιμα: 2","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/225424-magic-the-gathering-secret-lair-borderless-planeswalkers-foil-edition"

"efantasy","Magic the Gathering Collector Booster Box (12
boosters) - Dominaria Remastered","359,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/217506-magic-the-gathering-collector-booster-box-12-boosters-dominaria-remastered"

"efantasy","Magic the Gathering Set Booster Box (30 boosters) -
The Lord of the Rings: Tales of Middle-Earth","239,00€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/223816-magic-the-gathering-set-booster-box-30-boosters-the-lord-of-the-rings-tales-of-middle-earth"

"efantasy","Magic the Gathering Draft Booster Box (36 boosters) -
Dominaria Remastered","249,99€","Διαθέσιμα: 3","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/217504-magic-the-gathering-draft-booster-box-36-boosters-dominaria-remastered"

"efantasy","Magic the Gathering Play Booster Box (36 boosters) -
Modern Horizons 3","360,00€","Διαθέσιμα: 6","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278463-magic-the-gathering-play-booster-box-36-boosters-modern-horizons-3"

"efantasy","Magic the Gathering Play Booster Box (36 boosters) -
Duskmourn: House of Horror","179,99€","Διαθέσιμα: 3","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/298883-magic-the-gathering-play-booster-box-36-boosters-duskmourn-house-of-horror"

"efantasy","Magic the Gathering Collector Booster Box (12
boosters) - Innistrad Remastered","319,90€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/321344-magic-the-gathering-collector-booster-box-12-boosters-innistrad-remastered"

"efantasy","Magic the Gathering Play Booster - Innistrad
Remastered","6,99€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/321342-magic-the-gathering-play-booster-innistrad-remastered"

"efantasy","Magic the Gathering Play Booster Box (36 boosters) -
Innistrad Remastered","209,00€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/321340-magic-the-gathering-play-booster-box-36-boosters-innistrad-remastered"

"efantasy","Magic the Gathering - Dominaria United Commander Deck
(Painbow)","49,99€","Διαθέσιμα: 1","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/209298-magic-the-gathering-dominaria-united-commander-deck-painbow"

"efantasy","Magic the Gathering Draft Booster - The Brothers'
War","3,99€","Διαθέσιμα: 3","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/212735-magic-the-gathering-draft-booster-the-brothers-war"

"efantasy","Magic the Gathering Set Booster - The Brothers'
War","4,99€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/212737-magic-the-gathering-set-booster-the-brothers-war"

"efantasy","Magic the Gathering Play Booster -
Bloomburrow","4,99€","Διαθέσιμα: 10+","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278895-magic-the-gathering-play-booster-bloomburrow"

"efantasy","Magic the Gathering Beyond Booster Box (24 boosters) -
Assassin's Creed","167,99€","Διαθέσιμα: 5","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278881-magic-the-gathering-beyond-booster-box-24-boosters-assassins-creed"

